Smiles,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
Brc1ccc(-c2nn[nH]n2)cc1,7.7212962962962965,7.7212962962962965,0.06787037037037003,-0.27233796296296275,0.8017926061053369,15.916666666666666,225.04900000000004,220.009,223.96975826,60,0,0.2161828830491902,-0.17682512035808318,0.2161828830491902,0.17682512035808318,1.4166666666666667,2.1666666666666665,2.75,79.91873099742068,10.200224416525801,1.997762403937226,-1.921571608108154,2.161196293914477,-1.78982465451952,9.10299229459272,0.8814988143496107,2.7062440973715693,2.7822562421568846,569.1853692213707,12.74012249707665,10.666818855009058,7.252815394123765,7.930428110326542,5.43340942750453,3.7791941015619246,1.8914744724545762,2.6844727420119283,1.1369833542022691,1.5334824889809453,0.6537703175511389,0.852019884940477,-1.23,7658.670795561541,3.655431967596963,3.0215540250646478,1.3546537149909852,84.21241913334775,0.0,0.0,0.0,7.236246576328128,0.0,0.0,0.0,0.0,5.206409844936912,10.197363616602075,15.929943897949348,29.383059926308047,10.03617100752941,5.483034224680881,6.894876303009082,15.929943897949348,0.0,20.617158557193854,0.0,0.0,0.0,28.64239434648559,0.0,11.387855989696924,0.0,0.0,0.0,15.929943897949348,20.617158557193854,0.0,0.0,5.483034224680881,28.64239434648559,1.4118420783282006,11.387855989696924,0.0,54.46,0.0,0.0,0.0,40.03025033618251,5.206409844936912,0.0,0.0,0.0,0.0,31.340692610206293,6.894876303009082,37.805428004535145,2.978997307256236,0.0,10.791860591458805,-0.06787037037037003,-0.10694444444444406,-0.9848044217687062,0.0,0.0,0.0,0.0,12,1,4,0,0,0,0,1,1,2,0,0,3,1,5,1,1,0,0,0,0,0,0.9204237645868824,2,1.6291999999999998,47.313700000000004,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Brc1ccc(C2NCCS2)cc1,8.283649848828421,8.283649848828421,0.044508692365835545,-2.8375484221466367,0.8147590390020876,51.083333333333336,244.15700000000007,234.07699999999997,242.97173242,64,0,0.12365803289535077,-0.3008103764603357,0.3008103764603357,0.12365803289535077,1.75,2.5,3.0833333333333335,79.91873100316886,10.19983946472994,2.151373891576126,-2.0834751055162277,2.296636015749302,-2.1113510843392778,9.102993709974339,0.7507610120780671,2.520991145094995,2.7789769302925578,622.7697503302056,17.24855866551393,15.733426358973048,8.13591947901548,9.787233800108742,7.991657717968392,4.653938972953513,1.9218657438950075,3.5098106349832094,1.1591527006105091,2.237761404605631,0.6786862646367573,1.3603087458598286,0.009999999999999898,37411.50859320973,2.7496942659135213,3.8128247726464455,1.8409057516864318,99.16867975768866,5.309813353288376,1.4118420783282006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.761884949391115,28.01478131327594,17.648288907023584,22.1575703099794,12.203717233021525,13.74866908386018,27.691828847340464,0.0,5.309813353288376,0.0,5.349924452170425,12.201816569466104,34.20584583818258,0.0,0.0,5.309813353288376,0.0,0.0,27.691828847340464,12.201816569466104,0.0,0.0,23.250202949399398,28.64239434648559,1.4118420783282006,0.0,0.0,12.03,47.284867343986704,0.0,0.0,21.544417818511903,0.0,0.0,0.0,0.0,0.0,15.929943897949348,13.74866908386018,77.87001877834467,3.0407824310279663,0.0,-2.4064172335600906,-3.177525273998488,0.0,-2.155976946334088,0.0,-2.8375484221466367,0.0,0.3333333333333333,12,1,1,0,1,1,0,1,0,1,1,0,2,1,3,1,1,0,1,1,0,1,0.873675201189913,2,2.7841000000000014,57.34370000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Brc1ccc(Cc2c3ccccc3nc3ccccc23)cc1,9.01206538170824,9.01206538170824,0.2172877767574739,-3.0313945578231287,0.4209747509220395,20.772727272727273,348.2429999999998,334.1310000000001,347.0309615480004,106,0,0.07121239786901849,-0.24777565081559794,0.24777565081559794,0.07121239786901849,0.8181818181818182,1.3636363636363635,1.9545454545454546,79.91873115233815,9.964013651280256,2.0876003452607073,-2.108327866122158,2.2785999460738258,-1.941474758921846,9.102995817817224,1.2220784724473277,2.838557672685475,2.4198659207614774,1542.0586061269237,27.176761895789443,24.825178068509185,12.41117460762389,16.566067016249157,13.13619583200457,6.929194101561924,4.247999230879561,5.040997500436912,2.9035081126272533,3.300007247405929,1.987860854063605,2.186110421452943,-2.1899999999999995,48497694.561863326,5.172856510900821,5.542480498535946,2.398163356700353,156.97355109236523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,64.26929355925571,41.669502715376545,17.986685057102445,27.48250410927516,19.190619786383078,37.73579376211146,0.0,4.9839785209472085,0.0,6.372924901329379,0.0,88.10864699118596,0.0,0.0,0.0,0.0,0.0,15.929943897949348,4.9839785209472085,6.372924901329379,0.0,30.317522769777067,76.98174400779197,0.0,21.805849864162113,0.0,12.89,111.81470224084504,0.0,0.0,4.472719515832414,0.0,0.0,0.0,0.0,0.0,20.913922418896558,19.190619786383078,116.45226470799525,2.9464744627700075,4.100574032081967,-0.9938692838246403,-2.3671391828336272,0.0,-8.440243511699139,-3.0313945578231287,0.0,0.0,0.05,22,0,1,0,0,0,0,3,1,4,0,0,1,0,2,1,2,0,0,0,0,0,1.3032025606087496,4,5.741300000000004,96.19700000000002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brc1cccc(Br)c1N(C1=NCCN1)C1CCCCC1,9.19279572940287,9.19279572940287,0.05828703703703697,-4.118178972978081,0.800275477131563,53.2,401.14599999999984,381.9940000000002,398.99457180800056,108,0,0.19846148703813873,-0.3540710057930732,0.3540710057930732,0.19846148703813873,1.35,2.05,2.65,79.91976367197503,9.936671619690935,2.288780771676968,-2.363920972630793,2.3777483023656543,-2.4653480502329206,9.109371087218094,0.4379814984381847,2.9531526567837627,2.6563246796605657,1201.9722506234632,30.90325920389318,28.59756973251833,12.769562810747738,17.053253565384516,14.64042565275904,6.779208596373786,3.4078018606341125,4.993798399748816,2.2561214541023924,3.4037593310137293,1.4940772820822585,2.7095017385006357,-0.55,57977474.21904154,4.046460401447863,6.477637416011137,2.8859591798692383,163.39682952838896,10.209723084138854,0.0,7.371396647072036,0.0,0.0,0.0,4.992404732635669,0.0,0.0,0.0,25.161193411651436,56.69057501388404,35.16777674603262,23.150314408361265,26.08549608939216,43.506828639326095,0.0,5.309813353288376,4.992404732635669,37.88251697499654,17.893629099482368,27.07269515465471,0.0,0.0,10.209723084138854,5.687386274683562,0.0,31.859887795898697,24.97116640572537,0.0,0.0,56.538278517710914,32.06509988729038,1.4118420783282006,0.0,0.0,27.63,89.59587234171055,1.3707585561702202,0.0,10.209723084138854,0.0,0.0,0.0,0.0,0.0,36.85229252853436,24.71473753322194,156.0207110182036,5.823237433862434,3.356383692365835,-0.3149140211640211,-0.8867488662131515,-1.389127928949357,-6.506393114344504,-20.229058786323172,-6.707422760770979,0.0,0.5333333333333333,20,1,3,1,1,2,0,1,0,1,0,0,3,1,5,1,2,1,0,1,0,0,1.3105751649413062,3,4.309900000000003,91.49870000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brc1cccc(Br)c1N(CC1CCCC1)C1=NCCN1,8.926129062736205,8.926129062736205,0.04912037037037109,-4.130678972978083,0.8239205279280798,50.8,401.14599999999984,381.9940000000002,398.9945718080006,108,0,0.1982039705928767,-0.3540793766069778,0.3540793766069778,0.1982039705928767,1.5,2.2,2.8,79.91976367197191,10.080452280664582,2.253985187993416,-2.289300773341201,2.36190448173085,-2.4145412524431755,9.109370116551105,0.5568926332316105,2.979830685230808,2.567092414540957,1205.9722506234632,30.90325920389318,28.59756973251833,12.769562810747738,17.05325356538452,14.64042565275904,6.779208596373786,3.420998461759123,5.006995000873825,2.206818055227402,3.35445593213874,1.4194255826447641,2.634850039063141,-0.55,57942509.691244535,4.046460401447863,6.477637416011137,3.034123266524341,163.39682952838896,10.209723084138854,0.0,7.371396647072036,0.0,0.0,0.0,4.992404732635669,0.0,0.0,0.0,18.788268510322055,62.58453269924712,34.2759854058287,24.521072964531484,26.085496089392155,43.506828639326095,0.0,5.309813353288376,10.886362417998747,25.491699605317518,24.39048878379831,27.07269515465471,0.0,0.0,10.209723084138854,5.687386274683562,0.0,31.859887795898697,25.45013362169167,0.0,5.893957685363079,50.165353616381516,32.06509988729038,1.4118420783282006,0.0,0.0,27.63,89.59587234171055,0.0,0.0,10.209723084138854,0.0,0.0,0.0,0.0,0.0,36.85229252853436,26.085496089392155,155.40801470511042,5.826178193499621,3.355431311413453,-0.29335789871504137,-0.8456042139077853,-5.478662249622074,-2.3434240362811805,-15.736120926765771,-10.725788218065006,0.0,0.5333333333333333,20,1,3,1,1,2,0,1,0,1,0,0,3,1,5,1,3,1,0,1,0,0,1.3105751649413062,3,4.167400000000002,91.45070000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brc1ccccc1-c1nn[nH]n1,7.7212962962962965,7.7212962962962965,0.028819444444444065,-0.3800642479213907,0.8017926061053369,15.916666666666666,225.04900000000004,220.009,223.96975826,60,0,0.21618288913208109,-0.1768244444493006,0.21618288913208109,0.1768244444493006,1.5,2.3333333333333335,3.0833333333333335,79.91873100337091,10.199113342234941,2.0437760826666223,-1.9517626355115087,2.2300678389182322,-1.810465255611628,9.10356705960252,0.8814988143496105,2.7062440973715693,2.782256242156885,569.1853692213707,12.74012249707665,10.66681885500906,7.252815394123765,7.930428110326542,5.433409427504531,3.7791941015619246,1.8914744724545762,2.6844727420119283,1.1842289133284225,1.7789776154964367,0.6960280302875647,1.071597401353897,-1.23,7658.670795561541,3.655431967596963,3.0215540250646478,1.227350596173465,84.21241913334775,0.0,0.0,0.0,7.236246576328128,0.0,0.0,0.0,0.0,5.206409844936912,10.197363616602075,28.01478131327594,17.298222510981457,10.03617100752941,5.483034224680881,6.894876303009082,15.929943897949348,0.0,20.617158557193854,0.0,0.0,0.0,28.64239434648559,0.0,11.387855989696924,0.0,0.0,0.0,15.929943897949348,20.617158557193854,0.0,0.0,5.483034224680881,28.64239434648559,1.4118420783282006,11.387855989696924,0.0,54.46,0.0,0.0,0.0,40.03025033618252,5.206409844936912,0.0,0.0,0.0,0.0,31.340692610206293,6.894876303009082,37.5618537414966,3.0728779289493575,0.0,10.934711356764929,0.0921296296296299,-0.028819444444444065,-1.2160865457294014,0.0,0.0,0.0,0.0,12,1,4,0,0,0,0,1,1,2,0,0,3,1,5,1,1,0,0,0,0,0,0.9204237645868824,2,1.6291999999999995,47.3137,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Brc1cncc2ccccc12,7.744629629629629,7.744629629629629,0.026736111111111294,-0.4005272108843536,0.6479326565476233,17.90909090909091,208.05800000000002,202.00999999999996,206.968361292,54,0,0.0852263169951041,-0.2628850693896431,0.2628850693896431,0.0852263169951041,1.2727272727272727,2.090909090909091,3.0,79.91873098525117,10.172466848192427,1.9414340414857492,-1.9623059643762024,2.2064757230780323,-1.751145825835013,9.103917640585495,1.3470953411442055,2.2777926150857195,3.16510241661846,641.6442878431321,12.903259203893182,11.325178068509185,6.91117460762389,7.8579484652551095,5.886195832004572,3.6791941015619236,1.899392433129582,2.692390702686934,1.2287573281762065,1.8025762666318768,0.7498048425261695,1.1358390954486737,-0.89,5587.42528480527,2.8660772407781185,2.624406814181114,1.138763234334482,81.63008623882689,0.0,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,0.0,24.16967483065318,21.316168112414143,22.204734151926733,8.224551337021321,8.224551337021321,26.70239232687894,0.0,4.9839785209472085,0.0,0.0,0.0,40.98818476811511,0.0,0.0,0.0,0.0,0.0,15.929943897949348,4.9839785209472085,0.0,0.0,8.224551337021321,40.98818476811511,0.0,10.772448428929591,0.0,12.89,6.042418707663295,0.0,0.0,45.71821448938141,0.0,0.0,0.0,0.0,0.0,20.913922418896558,8.224551337021321,45.79637707860922,3.0774149659863945,3.6125864512471653,0.15266203703703773,0.0,0.0,-1.3545318405139826,-0.5345086923658346,0.0,0.0,0.0,11,0,1,0,0,0,0,1,1,2,0,0,1,0,2,1,0,0,0,0,0,0,0.6837956946061363,2,2.997300000000001,49.44300000000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C#CC(C)(C)N(C)C(C)(C)C#C,7.678472222222222,7.678472222222222,0.7677777777777779,-4.014583333333335,0.5604553724894071,37.25,163.26400000000015,146.128,163.136099544,66,0,0.1238985879447016,-0.2747970263928053,0.2747970263928053,0.1238985879447016,1.1666666666666667,1.6666666666666667,1.9166666666666667,15.211889003736783,9.953605552973436,2.3117366758405455,-2.3988914990131294,2.2093946956760426,-2.51155634604586,5.167516896795009,0.12386791016231291,2.383070599497525,8.161649582887662,622.3999030788076,23.905777393935814,22.94721359549996,5.947213595499958,12.487345747344081,11.170820393249937,2.6708203932499366,2.0062305898749058,2.0062305898749058,1.0326237921249266,1.0326237921249266,0.3633610463437159,0.3633610463437159,-0.9199999999999999,224046.7654823593,1.5351948491149372,3.2141055914457572,2.0320427359333957,100.03145512857029,0.0,2.7415171123404405,0.0,0.0,0.0,0.0,4.899909730850478,0.0,0.0,12.79880306964389,11.840868637711289,34.383395369464964,20.561378342553297,11.07785050476669,23.302895454893736,0.0,0.0,4.899909730850478,0.0,38.48541897394941,6.975826900282246,0.0,0.0,24.639671707355177,0.0,0.0,0.0,0.0,22.95358713589941,0.0,24.639671707355177,50.7104639240765,0.0,0.0,0.0,0.0,3.24,50.361155605082125,0.0,0.0,0.0,0.0,0.0,24.639671707355177,0.0,0.0,0.0,23.302895454893736,128.98575538548758,0.0,-0.7677777777777779,0.0,-7.917361111111113,2.8382369614512477,0.0,2.434630102040817,-19.82348356009071,0.0,0.6363636363636364,12,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,0,0.41118986237492045,0,1.7418,53.58700000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
C#CCCCC(=O)O,10.8446839569161,10.8446839569161,1.3624657501889645,-3.386805555555556,0.4342533650474813,26.5,112.12799999999994,104.06399999999998,112.052429496,44,0,0.30287465161454596,-0.48122997917174054,0.48122997917174054,0.30287465161454596,2.25,3.125,3.75,16.365116218952902,10.238230315941802,1.9157109279455609,-1.8514031923112377,1.9096491685438823,-1.917837516160322,5.6607417671923175,-0.1365906142358538,2.15246802576186,5.47747012446596,338.17303569420574,13.198670612749268,11.816496580927726,3.8164965809277263,7.042040647214671,5.566496580927726,1.6582482904638631,0.7874574785652649,0.7874574785652649,0.2895620726159658,0.2895620726159658,0.11353103630798289,0.11353103630798289,-0.97,1435.6961731831607,1.2985976339266891,4.195837479270316,5.03,59.8453771033814,5.1088081911072125,1.3707585561702202,0.0,0.0,1.4311996572326342,5.969305287951849,4.794537184071822,0.0,0.0,12.319835853677588,0.0,6.372924901329379,20.970401139680078,0.0,19.498655268370573,5.969305287951849,1.4311996572326342,0.0,0.0,19.118774703988137,0.0,0.0,0.0,12.319835853677588,0.0,0.0,0.0,0.0,11.078113479059063,4.794537184071822,12.319835853677588,28.714084597179674,0.0,0.0,1.4311996572326342,0.0,37.3,25.088079991939985,4.794537184071822,0.0,0.0,0.0,0.0,12.319835853677588,0.0,0.0,5.1088081911072125,11.026509550424175,55.559603174603176,0.0,10.8446839569161,3.308984552154195,0.0,-0.354232804232804,0.0,-8.442372212774,0.0,0.0,0.5,8,1,2,0,0,0,0,0,0,0,0,0,2,1,2,0,3,0,0,0,0,0,0.6810880778651695,0,0.8745,30.31979999999999,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C#CCCN,6.975694444444445,6.975694444444445,0.40541666666666654,-2.8461805555555557,0.4297269372113555,31.8,69.10699999999997,62.050999999999995,69.057849224,28,0,0.12382558509864232,-0.32952471456277693,0.32952471456277693,0.12382558509864232,2.6,3.6,4.2,14.5051065354177,10.466956381352263,1.6052777010472397,-1.7084015594374153,1.5861934186104527,-1.942182771375999,4.825038625166649,1.034111098868146,1.8609157668771963,4.828926674962184,211.18160308237574,9.99156383156272,9.447213595499958,2.447213595499958,5.254035844753886,4.368033988749895,0.9736067977499789,0.36180339887498947,0.36180339887498947,0.11840169943749473,0.11840169943749473,0.02795084971874737,0.02795084971874737,-0.48,221.44897625838635,0.5060486634185833,3.5199999999999982,3.5199999999999974,42.12410022554274,5.719716975726273,4.194442712826621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.319835853677588,0.0,0.0,18.3528188103262,0.0,9.677476937507503,0.0,0.0,0.0,5.719716975726273,6.372924901329379,6.496859684315945,0.0,0.0,12.319835853677588,5.719716975726273,0.0,0.0,0.0,6.496859684315945,0.0,12.319835853677588,13.226717682180478,0.0,2.8236841566564013,0.0,0.0,26.02,18.5895015613716,0.0,0.0,0.0,0.0,0.0,6.399401534821945,5.920434318855644,0.0,0.0,9.677476937507503,47.35034722222222,0.0,0.0,0.0,-0.40541666666666654,1.6368055555555556,0.0,-1.2355555555555553,-2.8461805555555557,0.0,0.5,5,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0.3562582590466825,0,-0.03159999999999996,22.504399999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
