acid_base_type,pka,Smiles
acidic,3.730000019,Brc1ccc(-c2nn[nH]n2)cc1
basic,5.050000191,Brc1ccc(C2NCCS2)cc1
basic,7.0,Brc1ccc(Cc2c3ccccc3nc3ccccc23)cc1
basic,11.30000019,Brc1cccc(Br)c1N(C1=NCCN1)C1CCCCC1
basic,10.89999962,Brc1cccc(Br)c1N(CC1CCCC1)C1=NCCN1
acidic,3.829999924,Brc1ccccc1-c1nn[nH]n1
basic,3.539999962,Brc1cncc2ccccc12
basic,6.650000095,C#CC(C)(C)N(C)C(C)(C)C#C
acidic,4.599999905,C#CCCCC(=O)O
basic,9.229999542,C#CCCN
basic,5.440000057,C#CCN1CCN(C(=O)OCC)CC1
basic,6.079999924,C#CCNCC#C
basic,9.729999542,C#C[C@]1(O)C[C@@H](C)N[C@@H]2CCCC[C@H]21
basic,9.289999962,C#C[C@]1(O)C[C@@H](C)N[C@H]2CCCC[C@@H]21
acidic,9.180000305,C#N
acidic,3.220000029,C/C=C(\Cl)C(=O)O
acidic,4.28000021,C/C=C/CC(=O)O
acidic,4.510000229,C/C=C\C=C/C(=O)O
basic,7.230000019,C1=C(c2nc3ccccc3o2)C2CCN1CC2
basic,10.93999958,C1CCCNCC1
basic,5.880000114,C1CN(CC2CO2)CCO1
basic,6.050000191,C1CN1
basic,8.649999619,C=C(C)C(=O)OC(C)CN(CC)CC
acidic,4.659999847,C=C(C)C(=O)O
basic,10.89999962,C=C(C)CCN(C1=NCCN1)c1c(Br)cccc1Br
acidic,2.549999952,C=C(F)C(=O)O
basic,9.399999619,C=C(F)CN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN
basic,8.350000381,C=C1[C@H](OC(C)=O)[C@]23C[C@H]4C5[C@@]67C(C2C[C@@H]1C[C@]36O)N4C[C@]5(C)C[C@@H](OC(C)=O)[C@@H]7OC(C)=O
basic,10.09000015,C=CC(=O)NC(C)(C)CCN(CC)CC
basic,7.199999809,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC(N(C)C)C1
basic,8.25,C=CC(=O)OCCN(C)C
basic,9.670000076,C=CC(C)(C)OCC(O)CNC(C)(C)C
basic,4.570000172,C=CC(C)Nc1ccccc1
acidic,4.329999924,C=CCC(=O)O
basic,9.399999619,C=CCN(CC=C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN
acidic,4.449999809,C=CCOc1ccc(C(=O)O)cc1
basic,9.523332596,C=CCOc1ccccc1OCC(O)CNC(C)C
basic,5.650000095,C=CCSS/C(CCO)=C(/C)N(C=O)Cc1cnc(C)nc1N
basic,8.720000267,C=CCN(C)C
basic,8.31000042,C=CCN(CC=C)CC=C
basic,9.350000381,C=CCNCC=C
basic,4.949999809,C=Cc1ccccn1
acidic,2.630000114,CC#CC(=O)O
acidic,3.599999905,CC#CCC(=O)O
acidic,7.639999866,CC(=O)/C=C(/C)O
acidic,8.850000381,CC(=O)C=C(C)O
basic,8.949999809,CC(=O)CCN(C)C
basic,3.519999981,CC(=O)N(C)c1cccnc1
acidic,7.320000172,CC(=O)N(c1ccccc1)c1nnc(S(N)(=O)=O)s1
basic,5.260000229,CC(=O)N1CCNc2ncnc(C)c21
acidic,2.5,CC(=O)N1C[S+]([O-])C[C@H]1C(=O)O
basic,7.099999905,CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCCN1CCOCC1)c1ccccc1
basic,9.279999733,CC(=O)NCCN
acidic,9.0,CC(=O)NCc1cc(C)cc(CNC(C)=O)c1O
acidic,5.400000095,CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(C#N)cccc32)c1
acidic,5.460000038,CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(C(C)(C)O)cccc32)c1
acidic,5.619999886,CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(F)cccc32)c1
acidic,9.069999695,CC(=O)NO
basic,7.849999905,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(-n3cccn3)c2)CCCCC1
basic,6.699999809,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C(F)F)c2)CC1
acidic,5.800000191,CC(=O)N[C@H]1CONC1=O
acidic,9.543333054,CC(=O)Nc1ccc(O)cc1
acidic,9.489999771,CC(=O)Nc1ccc(OC(=O)Nc2cc(Cl)ccc2O)cc1
acidic,10.02000046,CC(=O)Nc1ccc(S(N)(=O)=O)cc1
basic,9.93999958,CC(=O)Nc1ccc2nc(OCCN(C)C)ccc2c1
basic,3.0,CC(=O)Nc1cccc2cc3ccccc3nc12
basic,6.5,CC(=O)Nc1ccnc(N2CCc3ccccc3C2)c1
